states,cases
Alabama,2351391
Alaska,78216
Arizona,4180824
Arkansas,1157337
California,14661182
Colorado,2559401
Connecticut,3900376
Delaware,864462
District of Columbia,796585
Florida,9849214
Georgia,5424042
Guam,116952
Hawaii,81150
Idaho,450565
Illinois,10767376
Indiana,3446364
Iowa,1946864
Kansas,1033647
Kentucky,1091654
Louisiana,4670736
Maine,230837
Maryland,4858286
Massachusetts,8985921
Michigan,5926611
Minnesota,2292414
Mississippi,1780220
Missouri,1574894
Montana,81529
Nebraska,1280743
Nevada,1225902
New Hampshire,428112
New Jersey,15304897
New Mexico,821629
New York,37411374
North Carolina,3801740
North Dakota,251940
Northern Mariana Islands,2478
Ohio,3705398
Oklahoma,902121
Oregon,583723
Pennsylvania,7334872
Puerto Rico,475326
Rhode Island,1331749
South Carolina,2110524
South Dakota,481745
Tennessee,2892687
Texas,10184301
Utah,1346040
Vermont,111268
Virgin Islands,9763
Virginia,4200039
Washington,2651120
West Virginia,221790
Wisconsin,2052627
Wyoming,104889
